Account ID,Campaign ID,Campaign Name,Error Type,Message,URL,Screenshot
67586,vinw7335,Mcafee_international,404 Error,404 Error,http://track.bestdealforever.com/1016a994-9103-42c8-9d41-089e72cdcd74?keyword=<<TERMS_HTML_KW>>&phase=<<TERMS_HTML>>&partner=<<AFFSUB>>,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/67586_vinw7335_Mcafee_international_Chrome41.Win7_1900x1200.png
67584,FrameBuster,Google,X-Frame-Options: SAMEORIGIN,X-Frame-Options: SAMEORIGIN,http://google.com,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/67584_FrameBuster_Google_Chrome41.Win7_1900x1200.png
4381,5redzun,V26820,500 Error,500 Error,http://html.advertise-dev.com/500.php,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/4381_5redzun_V26820_Chrome41.Win7_1900x1200.png
67586,kevin0w7335,Mcafee,500 Error,500 Error,http://track.bestdealforever.com/aosdfs1016a994-9103-42c8-9d41-089e72cdcd74?keyword=<<TERMS_HTML_KW>>&phase=<<TERMS_HTML>>&partner=<<AFFSUB>>,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/67586_kevin0w7335_Mcafee_Chrome41.Win7_1900x1200.png
65656,kuyami45,ADVCAISP_CANADA_Interyield_DIRECT_RON,Facebook Instant Article,Facebook Instant Article,http://rotate303.com/isp/canada-nonMP3.php?&c1=ADVCAISP&c2=<<AFFSUB>>&sub=<<DOMAIN>>,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/65656_kuyami45_ADVCAISP_CANADA_Interyield_DIRECT_RON_Chrome41.Win7_1900x1200.png
65656,kuyami45,ADVCAISP_CANADA_Interyield_DIRECT_RON,Facebook Instant Article,Facebook Instant Article,http://rotate303.com/isp/canada-nonMP3.php?&c1=ADVCA02ISP&c2=<<AFFSUB>>&sub=<<DOMAIN>>,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/65656_kuyami45_ADVCAISP_CANADA_Interyield_DIRECT_RON_Chrome41.Win7_1900x1200.png
63525,sirenadvertising,2611_-_FreeLotto-2_(ZA),JS Alert (Pop),Congratulations! Claim an Apple iPad Mini or another brand-name prize. Act now!,http://uptodatecontent.net/freelotto/?offer_id=1410&aff_id=1040&aff_sub=2611-FreeLotto-2-ZA*&aff_sub2=ad2&aff_sub3=<<AFFILIATE>>&aff_sub4=<<SUBID>>&source=adv&audio=no,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/63525_sirenadvertising_2611_-_FreeLotto-2_(ZA)_Chrome41.Win7_1900x1200.png
67586,nw7335,Scareware,Resource Load Error,Unavailable,http://getmyads.com/campaigns/click?lang=de,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/67586_nw7335_Scareware_Chrome41.Win7_1900x1200.png
67586,nw7335,Scareware,Facebook Instant Article,Facebook Instant Article,http://getmyads.com/campaigns/click?lang=de,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/67586_nw7335_Scareware_Chrome41.Win7_1900x1200.png
67586,kevinw7335,Mcafee_international,404 Error,404 Error,http://track.bestdealforever.com/1016a994-9103-42c8-9d41-089e72cdcd74?keyword=<<TERMS_HTML_KW>>&phase=<<TERMS_HTML>>&partner=<<AFFSUB>>,http://a86a1dd73e2958f92681-a8dce365d3edf41acf6bab658deade1a.r98.cf1.rackcdn.com/screenshots/67586_kevinw7335_Mcafee_international_Chrome41.Win7_1900x1200.png
